team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Chennai Super Kings,Gurjapneet Singh,False,bowler,17.8,202.0,231.5,14.0,2.0,12.25,11.0,0.0,6.0,3.0,2.0,1.0,0.0,0.0,356.4,474.4,11.9,152.0,2.0,12.9,1.0,2.0,3.3,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Chennai Super Kings,Kartik Sharma,False,wicketkeeper,7.6,24.7,21.0,0.9,1.8,3.75,1.9,0.0,3.0,0.3,0.0,0.0,0.0,0.0,90.0,128.0,7.0,24.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Delhi Capitals,Abishek Porel,False,wicketkeeper,14.4,368.5,243.4,36.7,14.7,14.75,14.1,1.0,2.0,8.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Delhi Capitals,Mukesh Kumar,False,bowler,41.2,487.0,456.6,32.0,16.0,26.25,21.0,1.0,6.0,8.0,1.0,0.0,0.0,0.0,507.0,685.0,28.0,201.0,2.0,27.0,2.0,8.0,8.0,2.0,1.0,0.0,0.0,27.0,0.0,0.0,5.0
Delhi Capitals,Sameer Rizvi,False,batter,4.4,135.1,89.5,12.2,7.9,4.5,3.6,0.0,1.0,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Delhi Capitals,T. Natarajan,False,bowler,2.8,0.3,0.9,0.0,0.0,0.25,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,44.8,72.5,2.5,5.0,0.0,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat Titans,Anuj Rawat,False,wicketkeeper,0.4,7.2,5.1,0.9,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat Titans,Arshad Khan,False,all_rounder,9.8,26.9,21.4,0.3,3.0,4.5,2.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,138.6,232.6,6.6,46.0,0.0,9.3,1.0,0.0,0.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
Gujarat Titans,Ashok Sharma,False,bowler,16.6,255.1,203.3,23.0,10.6,10.75,9.6,1.3,1.6,3.0,2.0,1.0,0.0,0.0,116.7,206.9,7.0,21.0,0.0,10.2,2.2,2.0,2.9,0.6,0.3,0.0,0.0,4.0,0.0,1.0,0.0
Gujarat Titans,Mohammed Siraj,False,bowler,16.2,4.5,7.0,0.0,0.0,1.25,0.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,366.0,556.0,19.0,153.0,0.0,31.0,0.0,8.0,5.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
Kolkata Knight Riders,Kartik Tyagi,False,bowler,14.6,39.0,47.0,2.0,2.0,11.0,6.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,277.8,368.3,16.2,110.0,0.0,28.2,3.3,4.0,4.3,0.3,0.0,0.0,0.0,5.0,0.0,1.0,1.0
Kolkata Knight Riders,Ramandeep Singh,False,all_rounder,8.8,68.0,46.1,2.5,5.5,7.75,5.3,1.0,4.0,0.3,0.0,0.0,0.0,0.0,30.0,51.6,1.5,0.0,0.0,3.9,0.0,0.0,0.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
Kolkata Knight Riders,Umran Malik,False,bowler,2.8,17.6,17.7,0.3,0.3,1.25,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,64.4,0.3,3.0,0.0,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lucknow Super Giants,Abdul Samad,False,batter,30.4,318.0,219.0,19.3,20.3,24.5,16.6,0.0,12.0,5.0,3.0,0.0,0.0,0.0,188.0,178.0,11.0,112.0,3.0,3.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,2.0
Lucknow Super Giants,Akash Singh,False,bowler,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4,132.9,4.6,20.0,0.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucknow Super Giants,Himmat Singh,False,batter,42.4,301.6,232.1,18.0,18.3,31.5,26.3,5.0,14.3,4.0,1.0,0.0,0.0,0.0,729.0,864.0,40.0,263.0,1.0,30.0,0.0,10.0,11.0,5.0,1.0,0.0,0.0,15.0,0.0,1.0,1.0
Lucknow Super Giants,Mayank Yadav,False,bowler,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,7.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucknow Super Giants,Mohammed Shami,False,bowler,11.6,21.8,23.7,1.6,1.0,6.75,2.6,0.0,4.6,0.0,0.0,0.0,0.0,0.0,213.0,387.0,9.0,67.0,0.0,10.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Lucknow Super Giants,Prince Yadav,False,bowler,7.4,5.3,10.6,0.0,0.0,2.25,0.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0,179.0,281.7,5.4,42.0,0.0,7.6,0.3,3.0,0.9,0.3,0.0,0.0,0.0,3.0,0.0,2.0,1.0
Lucknow Super Giants,Shahbaz Ahmed,False,all_rounder,65.0,1264.0,1033.5,79.5,58.6,54.25,32.9,3.6,14.9,19.3,13.0,4.0,0.0,0.0,437.0,562.0,15.0,174.0,0.0,14.0,1.0,8.0,3.0,2.0,0.0,0.0,0.0,19.0,0.0,6.0,3.0
Mumbai Indians,Ashwani Kumar,False,bowler,27.4,9.0,11.0,2.0,0.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,552.6,814.0,35.2,182.0,0.0,36.5,4.3,4.0,9.3,3.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0
Mumbai Indians,Mayank Rawat,False,all_rounder,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
