team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Chennai Super Kings,Kartik Sharma,False,wicketkeeper,7.6,24.7,21.0,0.9,1.8,3.75,1.9,0.0,3.0,0.3,0.0,0.0,0.0,0.0,90.0,128.0,7.0,24.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chennai Super Kings,Prashant Veer,False,all_rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Rahul Chahar,False,bowler,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai Super Kings,Akeal Hosein,True,all_rounder,74.0,317.0,237.0,16.0,21.0,35.0,16.0,4.0,21.0,2.0,1.0,0.0,0.0,0.0,1490.0,1911.0,70.0,594.0,3.0,27.0,6.0,21.0,17.0,6.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0
Chennai Super Kings,Matt Henry,True,bowler,41.0,88.0,85.0,7.0,2.0,17.0,11.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,795.0,1026.0,58.0,375.0,4.0,24.0,3.0,8.0,18.0,7.0,2.0,1.0,0.0,13.0,0.0,3.0,1.0
Chennai Super Kings,Matthew Short,True,all_rounder,56.0,1787.0,1279.0,170.0,76.0,56.0,53.0,2.0,10.0,30.0,18.0,11.0,4.0,1.0,536.0,755.0,23.0,153.0,0.0,24.0,1.0,6.0,5.0,4.0,1.0,0.0,0.0,33.0,0.0,4.0,7.0
Chennai Super Kings,Aman Khan,False,all_rounder,102.0,1102.0,845.0,83.0,64.0,78.0,63.0,8.0,29.0,13.0,6.0,3.0,0.0,0.0,957.0,1366.0,53.0,338.0,0.0,76.0,4.0,16.0,12.0,5.0,1.0,1.0,1.0,30.0,3.0,5.0,4.0
Chennai Super Kings,Sarfaraz Khan,False,batter,61.0,805.0,572.0,66.0,41.0,52.0,42.0,3.0,16.0,15.0,6.0,0.0,0.0,0.0,969.0,1363.0,53.0,298.0,0.0,38.0,4.0,14.0,15.0,6.0,2.0,0.0,0.0,19.0,0.0,3.0,1.0
Chennai Super Kings,Zakary Foulkes,False,bowler,35.0,146.0,114.0,13.0,6.0,21.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,699.0,984.0,35.0,277.0,2.0,63.0,5.0,14.0,9.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0
Chennai Super Kings,Sanju Samson,False,wicketkeeper,30.0,874.0,573.0,76.0,51.0,30.0,29.0,1.0,5.0,12.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,2.0,6.0
