player,name_key,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
AS Roy,as roy,10,177,106,15,10,5,2,0,1,3,1,1,1,0,110,153,9,0,0,14,0,0,3,2,0,0,0,0,0,0,0
VR Iyer,vr iyer,10,56,54,9,0,4,3,0,0,0,0,0,0,0,66,111,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ramandeep Singh,ramandeep singh,9,70,37,5,5,3,1,0,0,1,0,0,0,0,100,172,5,0,0,13,0,0,1,0,0,0,0,0,0,0,0
Sanvir Singh,sanvir singh,9,58,29,6,3,3,2,0,1,1,0,0,0,0,90,144,6,0,0,5,0,0,2,0,0,0,0,0,0,0,0
RR Batham,rr batham,9,36,37,3,0,3,2,1,2,1,0,0,0,0,117,178,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0
MJ Suthar,mj suthar,9,25,28,1,0,4,1,1,1,0,0,0,0,0,108,134,8,0,0,2,0,0,3,2,0,0,0,0,0,0,0
AM Rahane,am rahane,8,340,200,30,16,8,6,1,1,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TD Agarwal,td agarwal,8,303,176,33,16,8,7,0,1,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aman Rao,aman rao,8,190,107,21,11,8,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Pragnay Reddy,ms pragnay reddy,8,175,108,13,13,8,5,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD Jakhar,sd jakhar,8,40,25,2,4,2,2,0,1,1,0,0,0,0,93,152,8,0,0,1,0,0,4,0,0,0,0,0,0,0,0
Ashok Sharma,ashok sharma,8,17,11,0,2,3,2,1,2,0,0,0,0,0,109,173,10,0,0,4,4,0,3,2,1,0,0,0,0,0,0
A Kamboj,a kamboj,8,12,8,0,1,2,1,0,0,0,0,0,0,0,139,195,13,0,0,7,1,0,5,1,1,0,0,0,0,0,0
Harpreet Brar,harpreet brar,8,10,4,0,1,1,0,0,0,0,0,0,0,0,126,181,12,0,1,3,0,0,4,1,1,0,0,0,0,0,0
Sumit Kumar,sumit kumar,8,8,10,0,0,2,2,0,2,0,0,0,0,0,132,212,5,0,0,3,2,0,2,0,0,0,0,0,0,0,0
AR Easwaran,ar easwaran,7,266,175,27,11,7,6,0,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abishek Porel,abishek porel,7,225,128,29,9,7,7,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karan Lal,karan lal,7,219,112,18,17,7,7,1,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RR Buddhi,rr buddhi,7,200,149,20,6,7,5,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Kulkarni,aa kulkarni,7,144,106,15,5,4,3,0,1,2,1,1,1,0,34,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB Murasingh,mb murasingh,7,102,58,5,7,2,2,0,0,2,1,1,0,0,113,142,3,0,0,3,1,0,1,0,0,0,0,0,0,0,0
PN Mankad,pn mankad,7,101,56,10,6,3,3,0,0,2,1,0,0,0,54,87,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0
T Thyagarajan,t thyagarajan,7,91,74,11,1,5,4,0,0,1,1,0,0,0,48,63,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
N Sindhu,n sindhu,7,77,51,7,3,4,4,0,1,2,0,0,0,0,42,62,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Utkarsh Singh,utkarsh singh,7,74,55,12,1,4,4,0,2,1,1,0,0,0,19,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS Vats,ps vats,7,52,53,3,1,3,2,0,1,1,0,0,0,0,30,62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
KV Sharma,kv sharma,7,36,28,4,2,3,1,0,1,0,0,0,0,0,84,136,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Swapnil Singh,swapnil singh,7,28,28,0,1,2,2,0,1,0,0,0,0,0,96,118,9,0,0,3,0,0,3,2,0,0,0,0,0,0,0
SK Kashyap,sk kashyap,7,25,25,3,0,3,2,0,1,0,0,0,0,0,96,101,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0
S Gani,s gani,7,19,19,4,0,3,3,0,2,0,0,0,0,0,71,121,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Bal Krishna,bal krishna,7,17,24,1,1,2,1,0,1,0,0,0,0,0,99,149,7,0,0,8,0,0,2,1,0,0,0,0,0,0,0
