team,player,is_overseas
Chennai Super Kings,Kartik Sharma,False
Chennai Super Kings,Prashant Veer,False
Chennai Super Kings,Rahul Chahar,False
Chennai Super Kings,Akeal Hosein,True
Chennai Super Kings,Matt Henry,True
Chennai Super Kings,Matthew Short,True
Chennai Super Kings,Aman Khan,False
Chennai Super Kings,Sarfaraz Khan,False
Chennai Super Kings,Zakary Foulkes,False
Chennai Super Kings,Sanju Samson,False
Chennai Super Kings,Ruturaj Gaikwad,False
Chennai Super Kings,Ayush Mhatre,False
Chennai Super Kings,M.S. Dhoni,False
Chennai Super Kings,Dewald Brevis,True
Chennai Super Kings,Urvil Patel,False
Chennai Super Kings,Shivam Dube,False
Chennai Super Kings,Jamie Overton,True
Chennai Super Kings,Ramakrishna Ghosh,False
Chennai Super Kings,Noor Ahmad,True
Chennai Super Kings,Khaleel Ahmed,False
Chennai Super Kings,Anshul Kamboj,False
Chennai Super Kings,Gurjapneet Singh,False
Chennai Super Kings,Shreyas Gopal,False
Chennai Super Kings,Mukesh Choudhary,False
Chennai Super Kings,Nathan Ellis,True
Mumbai Indians,Quinton de Kock,True
Mumbai Indians,Mohammad Izhar,False
Mumbai Indians,Danish Malewar,False
Mumbai Indians,Atharva Ankolekar,False
Mumbai Indians,Mayank Rawat,False
Mumbai Indians,Sherfane Rutherford,True
Mumbai Indians,Mayank Markande,False
Mumbai Indians,Shardul Thakur,False
Mumbai Indians,Hardik Pandya,False
Mumbai Indians,Rohit Sharma,False
Mumbai Indians,Suryakumar Yadav,False
Mumbai Indians,Tilak Varma,False
Mumbai Indians,Ryan Rickleton,False
Mumbai Indians,Robin Minz,False
Mumbai Indians,Mitchell Santner,True
Mumbai Indians,Corbin Bosch,True
Mumbai Indians,Naman Dhir,False
Mumbai Indians,Jasprit Bumrah,False
Mumbai Indians,Trent Boult,True
Mumbai Indians,Allah Ghafanzar,False
Mumbai Indians,Ashwani Kumar,False
Mumbai Indians,Deepak Chahar,False
Mumbai Indians,Will Jacks,True
Mumbai Indians,Raghu Sharma,False
Mumbai Indians,Raj Angad Bawa,False
Kolkata Knight Riders,Cameron Green,True
Kolkata Knight Riders,Matheesha Pathirana,True
Kolkata Knight Riders,Mustafizur Rahman,True
Kolkata Knight Riders,Tejasvi Singh,False
Kolkata Knight Riders,Finn Allen,True
Kolkata Knight Riders,Tim Seifert,True
Kolkata Knight Riders,Rahul Tripathi,False
Kolkata Knight Riders,Kartik Tyagi,False
Kolkata Knight Riders,Daksh Kamra,False
Kolkata Knight Riders,Sarthak Ranjan,False
Kolkata Knight Riders,Prashant Solanki,False
Kolkata Knight Riders,Akashdeep,False
Kolkata Knight Riders,Rachin Ravindra,True
Kolkata Knight Riders,Ajinkya Rahane,False
Kolkata Knight Riders,Sunil Narine,False
Kolkata Knight Riders,Rinku Singh,False
Kolkata Knight Riders,Angkrish Raghuvanshi,False
Kolkata Knight Riders,Manish Pandey,False
Kolkata Knight Riders,Varun Chakravarthy,False
Kolkata Knight Riders,Ramandeep Singh,False
Kolkata Knight Riders,Ankul Roy,False
Kolkata Knight Riders,Rovman Powell,False
Kolkata Knight Riders,Harshit Rana,False
Kolkata Knight Riders,Vaibhav Arora,False
Kolkata Knight Riders,Umran Malik,False
Royal Challengers Bengaluru,Venkatesh Iyer,False
Royal Challengers Bengaluru,Mangesh Yadav,False
Royal Challengers Bengaluru,Jacob Duffy,True
Royal Challengers Bengaluru,Satwik Deswal,False
Royal Challengers Bengaluru,Jordan Cox,True
Royal Challengers Bengaluru,Vihaan Malhotra,False
Royal Challengers Bengaluru,Kanishk Chouhan,False
Royal Challengers Bengaluru,Vicky Ostwal,False
Royal Challengers Bengaluru,Rajat Patidar,False
Royal Challengers Bengaluru,Virat Kohli,False
Royal Challengers Bengaluru,Devdutt Padikkal,False
Royal Challengers Bengaluru,Phil Salt,False
Royal Challengers Bengaluru,Jitesh Sharma,False
Royal Challengers Bengaluru,Krunal Pandya,False
Royal Challengers Bengaluru,Swapnil Singh,False
Royal Challengers Bengaluru,Tim David,True
Royal Challengers Bengaluru,Romario Shepherd,True
Royal Challengers Bengaluru,Jacob Bethell,False
Royal Challengers Bengaluru,Josh Hazlewood,True
Royal Challengers Bengaluru,Yash Dayal,False
Royal Challengers Bengaluru,Bhuvneshwar Kumar,False
Royal Challengers Bengaluru,Nuwan Thushara,False
Royal Challengers Bengaluru,Rasikh Salam,False
Royal Challengers Bengaluru,Abhinandan Singh,False
Royal Challengers Bengaluru,Suyash Sharma,False
Punjab Kings,Cooper Connolly,True
Punjab Kings,Ben Dwarshuis,True
Punjab Kings,Praveen Dubey,False
Punjab Kings,Vishal Nishad,False
Punjab Kings,Prabhsimran Singh,False
Punjab Kings,Priyansh Arya,False
Punjab Kings,Shreyas Iyer,False
Punjab Kings,Shashank Singh,False
Punjab Kings,Nehal Wadhera,False
Punjab Kings,Marcus Stoinis,True
Punjab Kings,Azmatullah Omarzai,True
Punjab Kings,Marco Jansen,True
Punjab Kings,Harpreet Brar,False
Punjab Kings,Yuzvendra Chahal,False
Punjab Kings,Arshdeep Singh,False
Punjab Kings,Musheer Khan,False
