team,player,is_overseas,role
Chennai Super Kings,Kartik Sharma,False,wicketkeeper
Chennai Super Kings,Prashant Veer,False,all_rounder
Chennai Super Kings,Rahul Chahar,False,bowler
Chennai Super Kings,Akeal Hosein,True,all_rounder
Chennai Super Kings,Matt Henry,True,bowler
Chennai Super Kings,Matthew Short,True,all_rounder
Chennai Super Kings,Aman Khan,False,all_rounder
Chennai Super Kings,Sarfaraz Khan,False,batter
Chennai Super Kings,Zakary Foulkes,False,bowler
Chennai Super Kings,Sanju Samson,False,wicketkeeper
Chennai Super Kings,Ruturaj Gaikwad,False,batter
Chennai Super Kings,Ayush Mhatre,False,batter
Chennai Super Kings,M.S. Dhoni,False,wicketkeeper
Chennai Super Kings,Dewald Brevis,True,batter
Chennai Super Kings,Urvil Patel,False,wicketkeeper
Chennai Super Kings,Shivam Dube,False,all_rounder
Chennai Super Kings,Jamie Overton,True,all_rounder
Chennai Super Kings,Ramakrishna Ghosh,False,all_rounder
Chennai Super Kings,Noor Ahmad,True,bowler
Chennai Super Kings,Khaleel Ahmed,False,bowler
Chennai Super Kings,Anshul Kamboj,False,bowler
Chennai Super Kings,Gurjapneet Singh,False,bowler
Chennai Super Kings,Shreyas Gopal,False,all_rounder
Chennai Super Kings,Mukesh Choudhary,False,bowler
Chennai Super Kings,Nathan Ellis,True,bowler
Mumbai Indians,Quinton de Kock,True,wicketkeeper
Mumbai Indians,Mohammad Izhar,False,batter
Mumbai Indians,Danish Malewar,False,batter
Mumbai Indians,Atharva Ankolekar,False,all_rounder
Mumbai Indians,Mayank Rawat,False,all_rounder
Mumbai Indians,Sherfane Rutherford,True,batter
Mumbai Indians,Mayank Markande,False,bowler
Mumbai Indians,Shardul Thakur,False,all_rounder
Mumbai Indians,Hardik Pandya,False,all_rounder
Mumbai Indians,Rohit Sharma,False,batter
Mumbai Indians,Suryakumar Yadav,False,batter
Mumbai Indians,Tilak Varma,False,batter
Mumbai Indians,Ryan Rickleton,False,wicketkeeper
Mumbai Indians,Robin Minz,False,wicketkeeper
Mumbai Indians,Mitchell Santner,True,all_rounder
Mumbai Indians,Corbin Bosch,True,all_rounder
Mumbai Indians,Naman Dhir,False,all_rounder
Mumbai Indians,Jasprit Bumrah,False,bowler
Mumbai Indians,Trent Boult,True,bowler
Mumbai Indians,Allah Ghafanzar,False,bowler
Mumbai Indians,Ashwani Kumar,False,bowler
Mumbai Indians,Deepak Chahar,False,bowler
Mumbai Indians,Will Jacks,True,all_rounder
Mumbai Indians,Raghu Sharma,False,bowler
Mumbai Indians,Raj Angad Bawa,False,all_rounder
Kolkata Knight Riders,Cameron Green,True,all_rounder
Kolkata Knight Riders,Matheesha Pathirana,True,bowler
Kolkata Knight Riders,Mustafizur Rahman,True,bowler
Kolkata Knight Riders,Tejasvi Singh,False,bowler
Kolkata Knight Riders,Finn Allen,True,wicketkeeper
Kolkata Knight Riders,Tim Seifert,True,wicketkeeper
Kolkata Knight Riders,Rahul Tripathi,False,batter
Kolkata Knight Riders,Kartik Tyagi,False,bowler
Kolkata Knight Riders,Daksh Kamra,False,bowler
Kolkata Knight Riders,Sarthak Ranjan,False,all_rounder
Kolkata Knight Riders,Prashant Solanki,False,bowler
Kolkata Knight Riders,Akashdeep,False,bowler
Kolkata Knight Riders,Rachin Ravindra,True,all_rounder
Kolkata Knight Riders,Ajinkya Rahane,False,batter
Kolkata Knight Riders,Sunil Narine,False,all_rounder
Kolkata Knight Riders,Rinku Singh,False,batter
Kolkata Knight Riders,Angkrish Raghuvanshi,False,batter
Kolkata Knight Riders,Manish Pandey,False,batter
Kolkata Knight Riders,Varun Chakravarthy,False,bowler
Kolkata Knight Riders,Ramandeep Singh,False,all_rounder
Kolkata Knight Riders,Ankul Roy,False,all_rounder
Kolkata Knight Riders,Rovman Powell,True,batter
Kolkata Knight Riders,Harshit Rana,False,bowler
Kolkata Knight Riders,Vaibhav Arora,False,bowler
Kolkata Knight Riders,Umran Malik,False,bowler
Royal Challengers Bengaluru,Venkatesh Iyer,False,all_rounder
Royal Challengers Bengaluru,Mangesh Yadav,False,bowler
Royal Challengers Bengaluru,Jacob Duffy,True,bowler
Royal Challengers Bengaluru,Satwik Deswal,False,bowler
Royal Challengers Bengaluru,Jordan Cox,True,wicketkeeper
Royal Challengers Bengaluru,Vihaan Malhotra,False,batter
Royal Challengers Bengaluru,Kanishk Chouhan,False,all_rounder
Royal Challengers Bengaluru,Vicky Ostwal,False,bowler
Royal Challengers Bengaluru,Rajat Patidar,False,batter
Royal Challengers Bengaluru,Virat Kohli,False,batter
Royal Challengers Bengaluru,Devdutt Padikkal,False,batter
Royal Challengers Bengaluru,Phil Salt,True,wicketkeeper
Royal Challengers Bengaluru,Jitesh Sharma,False,wicketkeeper
Royal Challengers Bengaluru,Krunal Pandya,False,all_rounder
Royal Challengers Bengaluru,Swapnil Singh,False,all_rounder
Royal Challengers Bengaluru,Tim David,True,batter
Royal Challengers Bengaluru,Romario Shepherd,True,all_rounder
Royal Challengers Bengaluru,Jacob Bethell,True,all_rounder
Royal Challengers Bengaluru,Josh Hazlewood,True,bowler
Royal Challengers Bengaluru,Yash Dayal,False,bowler
Royal Challengers Bengaluru,Bhuvneshwar Kumar,False,bowler
Royal Challengers Bengaluru,Nuwan Thushara,True,bowler
Royal Challengers Bengaluru,Rasikh Salam,False,bowler
Royal Challengers Bengaluru,Abhinandan Singh,False,bowler
Royal Challengers Bengaluru,Suyash Sharma,False,bowler
Punjab Kings,Cooper Connolly,True,all_rounder
Punjab Kings,Ben Dwarshuis,True,bowler
Punjab Kings,Praveen Dubey,False,bowler
Punjab Kings,Vishal Nishad,False,batter
Punjab Kings,Prabhsimran Singh,False,wicketkeeper
Punjab Kings,Priyansh Arya,False,batter
Punjab Kings,Shreyas Iyer,False,batter
Punjab Kings,Shashank Singh,False,batter
Punjab Kings,Nehal Wadhera,False,batter
Punjab Kings,Marcus Stoinis,True,all_rounder
Punjab Kings,Azmatullah Omarzai,True,all_rounder
Punjab Kings,Marco Jansen,True,all_rounder
Punjab Kings,Harpreet Brar,False,all_rounder
Punjab Kings,Yuzvendra Chahal,False,bowler
Punjab Kings,Arshdeep Singh,False,bowler
Punjab Kings,Musheer Khan,False,all_rounder
Punjab Kings,Pyala Avinash,False,wicketkeeper
Punjab Kings,Harnoor Pannu,False,batter
Punjab Kings,Suryansh Shedge,False,all_rounder
Punjab Kings,Mitchell Owen,True,all_rounder
Punjab Kings,Xavier Bartlett,True,bowler
Punjab Kings,Lockie Ferguson,True,bowler
Punjab Kings,Vyshak Vijaykumar,False,bowler
Punjab Kings,Yash Thakur,False,bowler
Punjab Kings,Vishnu Vinod,False,wicketkeeper
Gujarat Titans,Jason Holder,True,all_rounder
Gujarat Titans,Ashok Sharma,False,bowler
Gujarat Titans,Luke Wood,True,bowler
Gujarat Titans,Prithvi Raj Yarra,False,bowler
Gujarat Titans,Tom Banton,True,wicketkeeper
Gujarat Titans,Shubman Gill,False,batter
Gujarat Titans,Sai Sudharsan,False,batter
Gujarat Titans,Kumar Kushagra,False,wicketkeeper
Gujarat Titans,Anuj Rawat,False,wicketkeeper
Gujarat Titans,Jos Buttler,True,wicketkeeper
Gujarat Titans,Nishant Sindhu,False,all_rounder
Gujarat Titans,Washington Sundar,False,all_rounder
Gujarat Titans,Arshad Khan,False,all_rounder
Gujarat Titans,Shahrukh Khan,False,batter
Gujarat Titans,Rahul Tewatia,False,all_rounder
Gujarat Titans,Kagiso Rabada,True,bowler
Gujarat Titans,Mohammed Siraj,False,bowler
Gujarat Titans,Prasidh Krishna,False,bowler
Gujarat Titans,Ishant Sharma,False,bowler
