team,player,is_overseas,role
Chennai Super Kings,Kartik Sharma (14.20 cr),False,unknown
Chennai Super Kings,Prashant Veer (14.20 cr),False,unknown
Chennai Super Kings,Rahul Chahar (5.20 cr),False,unknown
Chennai Super Kings,Akeal Hosein (2 cr),False,unknown
Chennai Super Kings,Matt Henry (2 cr),False,unknown
Chennai Super Kings,Matthew Short (1.50 cr),False,unknown
Chennai Super Kings,Aman Khan (40 L),False,unknown
Chennai Super Kings,Sarfaraz Khan (75 L),False,unknown
Chennai Super Kings,Zakary Foulkes (75 L),False,unknown
Chennai Super Kings,Sanju Samson,True,wicketkeeper
Chennai Super Kings,Ruturaj Gaikwad,False,batter
Chennai Super Kings,Ayush Mhatre,False,batter
Chennai Super Kings,M.S. Dhoni,False,wicketkeeper
Chennai Super Kings,Dewald Brevis,True,batter
Chennai Super Kings,Urvil Patel,False,wicketkeeper
Chennai Super Kings,Shivam Dube,False,all_rounder
Chennai Super Kings,Jamie Overton,True,all_rounder
Chennai Super Kings,Ramakrishna Ghosh,False,all_rounder
Chennai Super Kings,Noor Ahmad,True,bowler
Chennai Super Kings,Khaleel Ahmed,False,bowler
Chennai Super Kings,Anshul Kamboj,False,bowler
Chennai Super Kings,Gurjapneet Singh,False,bowler
Chennai Super Kings,Shreyas Gopal,False,all_rounder
Chennai Super Kings,Mukesh Choudhary,False,bowler
Chennai Super Kings,Nathan Ellis,True,bowler
