team,player,is_overseas,role
Delhi Capitals,Auqib Nabi Dar (8.40 cr),False,unknown
Delhi Capitals,Pathum Nissanka (4 cr),False,unknown
Delhi Capitals,Ben Duckett (2 cr),False,unknown
Delhi Capitals,David Miller (2 cr),False,unknown
Delhi Capitals,Lungi Ngidi (2 cr),False,unknown
Delhi Capitals,Sahil Parakh (30 L),False,unknown
Delhi Capitals,Prithvi Shaw (75L),False,unknown
Delhi Capitals,Kyle Jamieson (2 cr),False,unknown
Delhi Capitals,Nitish Rana,False,batter
Delhi Capitals,Axar Patel,False,all_rounder
Delhi Capitals,KL Rahul,False,wicketkeeper
Delhi Capitals,Abishek Porel,False,wicketkeeper
Delhi Capitals,Tristan Stubbs,True,wicketkeeper
Delhi Capitals,Karun Nair,False,batter
Delhi Capitals,Sameer Rizvi,False,batter
Delhi Capitals,Ashutosh Sharma,False,batter
Delhi Capitals,Vipraj Nigam,False,all_rounder
Delhi Capitals,Madhav Tiwari,False,all_rounder
Delhi Capitals,Tripurana Vijay,False,all_rounder
Delhi Capitals,Ajay Mandal,False,all_rounder
Delhi Capitals,Kuldeep Yadav,False,bowler
Delhi Capitals,Mitchell Starc,True,bowler
Delhi Capitals,T. Natarajan,False,bowler
Delhi Capitals,Mukesh Kumar,False,bowler
Delhi Capitals,Dushmantha Chameera,True,bowler
