team,player,is_overseas,role
Gujarat Titans,Jason Holder (7 cr),False,unknown
Gujarat Titans,Ashok Sharma (90 L),False,unknown
Gujarat Titans,Luke Wood (75 L),False,unknown
Gujarat Titans,Prithvi Raj Yarra (30 L),False,unknown
Gujarat Titans,Tom Banton (30 L),False,unknown
Gujarat Titans,Shubman Gill,False,batter
Gujarat Titans,Sai Sudharsan,False,batter
Gujarat Titans,Kumar Kushagra,False,wicketkeeper
Gujarat Titans,Anuj Rawat,False,wicketkeeper
Gujarat Titans,Jos Buttler,True,wicketkeeper
Gujarat Titans,Nishant Sindhu,False,all_rounder
Gujarat Titans,Washington Sundar,False,all_rounder
Gujarat Titans,Arshad Khan,False,all_rounder
Gujarat Titans,Shahrukh Khan,False,batter
Gujarat Titans,Rahul Tewatia,False,all_rounder
Gujarat Titans,Kagiso Rabada,True,bowler
Gujarat Titans,Mohammed Siraj,False,bowler
Gujarat Titans,Prasidh Krishna,False,bowler
Gujarat Titans,Ishant Sharma,False,bowler
Gujarat Titans,Gurnoor Singh Brar,False,all_rounder
Gujarat Titans,Rashid Khan,True,bowler
Gujarat Titans,Manav Suthar,False,all_rounder
Gujarat Titans,Sai Kishore,False,bowler
Gujarat Titans,Jayant Yadav,False,all_rounder
Gujarat Titans,Glenn Phillips,True,wicketkeeper
