team,player,is_overseas,role
Kolkata Knight Riders,Cameron Green (25.20 cr),False,unknown
Kolkata Knight Riders,Matheesha Pathirana (18 cr),False,unknown
Kolkata Knight Riders,Mustafizur Rahman (9.20 cr),False,unknown
Kolkata Knight Riders,Tejasvi Singh (3 cr),False,unknown
Kolkata Knight Riders,Finn Allen (2 cr),False,unknown
Kolkata Knight Riders,Tim Seifert (1.50 cr),False,unknown
Kolkata Knight Riders,Rahul Tripathi (75 L),False,unknown
Kolkata Knight Riders,Kartik Tyagi (30 L),False,unknown
Kolkata Knight Riders,Daksh Kamra (30 L),False,unknown
Kolkata Knight Riders,Sarthak Ranjan (30 L),False,unknown
Kolkata Knight Riders,Prashant Solanki (30 L),False,unknown
Kolkata Knight Riders,Akashdeep (1 cr),False,unknown
Kolkata Knight Riders,Rachin Ravindra (2 cr),False,unknown
Kolkata Knight Riders,Ajinkya Rahane,False,batter
Kolkata Knight Riders,Sunil Narine,False,all_rounder
Kolkata Knight Riders,Rinku Singh,False,batter
Kolkata Knight Riders,Angkrish Raghuvanshi,False,batter
Kolkata Knight Riders,Manish Pandey,False,batter
Kolkata Knight Riders,Varun Chakravarthy,False,bowler
Kolkata Knight Riders,Ramandeep Singh,False,all_rounder
Kolkata Knight Riders,Ankul Roy,False,all_rounder
Kolkata Knight Riders,Rovman Powell,True,batter
Kolkata Knight Riders,Harshit Rana,False,bowler
Kolkata Knight Riders,Vaibhav Arora,False,bowler
Kolkata Knight Riders,Umran Malik,False,bowler
