team,player,is_overseas,role
Lucknow Super Giants,Josh Inglis (8.60 cr),False,unknown
Lucknow Super Giants,Mukul Choudhary (2.60 cr),False,unknown
Lucknow Super Giants,Akshat Raghuwanshi (2.20 cr),False,unknown
Lucknow Super Giants,Anrich Nortje (2 cr),False,unknown
Lucknow Super Giants,Wanindu Hasaranga (2 cr),False,unknown
Lucknow Super Giants,Naman Tiwari (1 cr),False,unknown
Lucknow Super Giants,Mohammed Shami,False,bowler
Lucknow Super Giants,Arjun Tendulkar,False,all_rounder
Lucknow Super Giants,Abdul Samad,False,batter
Lucknow Super Giants,Ayush Badoni,False,batter
Lucknow Super Giants,Aiden Markram,True,all_rounder
Lucknow Super Giants,Matthew Breetzke,True,batter
Lucknow Super Giants,Himmat Singh,False,batter
Lucknow Super Giants,Rishabh Pant,False,wicketkeeper
Lucknow Super Giants,Nicholas Pooran,True,wicketkeeper
Lucknow Super Giants,Mitchell Marsh,True,all_rounder
Lucknow Super Giants,Shahbaz Ahmed,False,all_rounder
Lucknow Super Giants,Arshin Kulkarni,False,all_rounder
Lucknow Super Giants,Mayank Yadav,False,bowler
Lucknow Super Giants,Avesh Khan,False,bowler
Lucknow Super Giants,Mohsin Khan,False,bowler
Lucknow Super Giants,Manimaran Siddharth,False,bowler
Lucknow Super Giants,Digvesh Rathi,False,bowler
Lucknow Super Giants,Prince Yadav,False,bowler
Lucknow Super Giants,Akash Singh,False,bowler
