team,player,is_overseas,role
Punjab Kings,Cooper Connolly (2 cr),False,unknown
Punjab Kings,Ben Dwarshuis (4.40 cr),False,unknown
Punjab Kings,Praveen Dubey (30 L),False,unknown
Punjab Kings,Vishal Nishad (30 L),False,unknown
Punjab Kings,Prabhsimran Singh,False,wicketkeeper
Punjab Kings,Priyansh Arya,False,batter
Punjab Kings,Shreyas Iyer,False,batter
Punjab Kings,Shashank Singh,False,batter
Punjab Kings,Nehal Wadhera,False,batter
Punjab Kings,Marcus Stoinis,True,all_rounder
Punjab Kings,Azmatullah Omarzai,True,all_rounder
Punjab Kings,Marco Jansen,True,all_rounder
Punjab Kings,Harpreet Brar,False,all_rounder
Punjab Kings,Yuzvendra Chahal,False,bowler
Punjab Kings,Arshdeep Singh,False,bowler
Punjab Kings,Musheer Khan,False,all_rounder
Punjab Kings,Pyala Avinash,False,unknown
Punjab Kings,Harnoor Pannu,False,batter
Punjab Kings,Suryansh Shedge,False,all_rounder
Punjab Kings,Mitchell Owen,True,all_rounder
Punjab Kings,Xavier Bartlett,True,bowler
Punjab Kings,Lockie Ferguson,True,bowler
Punjab Kings,Vyshak Vijaykumar,False,bowler
Punjab Kings,Yash Thakur,False,bowler
Punjab Kings,Vishnu Vinod,False,wicketkeeper
