team,player,is_overseas,role
Rajasthan Royals,Ravi Bishnoi (7.20 cr),False,unknown
Rajasthan Royals,Ravi Singh (95 L),False,unknown
Rajasthan Royals,Sushant Mishra (90 L),False,unknown
Rajasthan Royals,Vignesh Puthur (30 L),False,unknown
Rajasthan Royals,Yash Raj Punja (30 L),False,unknown
Rajasthan Royals,Aman Rao (30 L),False,unknown
Rajasthan Royals,Brijesh Sharma (30 L),False,unknown
Rajasthan Royals,Kuldeep Sen (75 L),False,unknown
Rajasthan Royals,Adam Milne (2.40 cr),False,unknown
Rajasthan Royals,Ravindra Jadeja,False,all_rounder
Rajasthan Royals,Sam Curran,True,all_rounder
Rajasthan Royals,Shubham Dubey,False,batter
Rajasthan Royals,Vaibhav Suryavanshi,False,batter
Rajasthan Royals,Lhuan-Dre Pretorius,True,wicketkeeper
Rajasthan Royals,Shimron Hetmyer,True,batter
Rajasthan Royals,Yashasvi Jaiswal,False,batter
Rajasthan Royals,Dhruv Jurel,False,wicketkeeper
Rajasthan Royals,Riyan Parag,False,all_rounder
Rajasthan Royals,Yudhvir Singh Charak,False,all_rounder
Rajasthan Royals,Jofra Archer,True,bowler
Rajasthan Royals,Tushar Deshpande,False,bowler
Rajasthan Royals,Kwena Maphaka,True,bowler
Rajasthan Royals,Nandre Burger,True,bowler
