team,player,is_overseas,role
Royal Challengers Bengaluru,Venkatesh Iyer (7 cr),False,unknown
Royal Challengers Bengaluru,Mangesh Yadav (5.2 cr),False,unknown
Royal Challengers Bengaluru,Jacob Duffy (2 cr),False,unknown
Royal Challengers Bengaluru,Satwik Deswal (30 L),False,unknown
Royal Challengers Bengaluru,Jordan Cox (75 L),False,unknown
Royal Challengers Bengaluru,Vihaan Malhotra (30 L),False,unknown
Royal Challengers Bengaluru,Kanishk Chouhan (30 L),False,unknown
Royal Challengers Bengaluru,Vicky Ostwal (30 L),False,unknown
Royal Challengers Bengaluru,Rajat Patidar,False,batter
Royal Challengers Bengaluru,Virat Kohli,False,batter
Royal Challengers Bengaluru,Devdutt Padikkal,False,batter
Royal Challengers Bengaluru,Phil Salt,True,wicketkeeper
Royal Challengers Bengaluru,Jitesh Sharma,False,wicketkeeper
Royal Challengers Bengaluru,Krunal Pandya,False,all_rounder
Royal Challengers Bengaluru,Swapnil Singh,False,all_rounder
Royal Challengers Bengaluru,Tim David,True,batter
Royal Challengers Bengaluru,Romario Shepherd,True,all_rounder
Royal Challengers Bengaluru,Jacob Bethell,True,all_rounder
Royal Challengers Bengaluru,Josh Hazlewood,True,bowler
Royal Challengers Bengaluru,Yash Dayal,False,bowler
Royal Challengers Bengaluru,Bhuvneshwar Kumar,False,bowler
Royal Challengers Bengaluru,Nuwan Thushara,True,bowler
Royal Challengers Bengaluru,Rasikh Salam,False,bowler
Royal Challengers Bengaluru,Abhinandan Singh,False,bowler
Royal Challengers Bengaluru,Suyash Sharma,False,bowler
