team,player,is_overseas,role
Sunrisers Hyderabad,Salil Arora (1.50 cr),False,unknown
Sunrisers Hyderabad,Shivang Kumar (30 L),False,unknown
Sunrisers Hyderabad,Sakib Hussain (30 L),False,unknown
Sunrisers Hyderabad,Onkar Tarmale (30 L),False,unknown
Sunrisers Hyderabad,Krains Fuletra (30 L),False,unknown
Sunrisers Hyderabad,Praful Hinge (30 L),False,unknown
Sunrisers Hyderabad,Amit Kumar (30 L),False,unknown
Sunrisers Hyderabad,Shivam Mavi (75 L),False,unknown
Sunrisers Hyderabad,Liam Livingstone (13 cr),False,unknown
Sunrisers Hyderabad,Jack Edwards (3 cr),False,unknown
Sunrisers Hyderabad,Pat Cummins,True,all_rounder
Sunrisers Hyderabad,Travis Head,True,batter
Sunrisers Hyderabad,Abhishek Sharma,False,all_rounder
Sunrisers Hyderabad,Aniket Verma,False,batter
Sunrisers Hyderabad,R. Smaran,False,batter
Sunrisers Hyderabad,Ishan Kishan,False,wicketkeeper
Sunrisers Hyderabad,Heinrich Klaasen,True,wicketkeeper
Sunrisers Hyderabad,Nitish Kumar Reddy,False,all_rounder
Sunrisers Hyderabad,Harsh Dubey,False,all_rounder
Sunrisers Hyderabad,Kamindu Mendis,True,all_rounder
Sunrisers Hyderabad,Harshal Patel,False,bowler
Sunrisers Hyderabad,Brydon Carse,True,all_rounder
Sunrisers Hyderabad,Jaydev Unadkat,False,bowler
Sunrisers Hyderabad,Eshan Malinga,True,bowler
Sunrisers Hyderabad,Zeeshan Ansari,False,bowler
